"","Var1","Freq"
"1","23",0.000556173526140156
"2","30",0.000556173526140156
"3","31",0.000556173526140156
"4","32",0.000556173526140156
"5","33",0.000556173526140156
"6","36",0.000556173526140156
"7","37",0.00333704115684093
"8","38",0.00166852057842047
"9","39",0.00278086763070078
"10","40",0.000556173526140156
"11","41",0.00278086763070078
"12","42",0.00278086763070078
"13","43",0.0050055617352614
"14","44",0.00723025583982202
"15","45",0.010567296996663
"16","46",0.010567296996663
"17","47",0.0150166852057842
"18","48",0.0133481646273637
"19","49",0.017797552836485
"20","50",0.0189098998887653
"21","51",0.0244716351501669
"22","52",0.0239154616240267
"23","53",0.0389321468298109
"24","54",0.0528364849833148
"25","55",0.042825361512792
"26","56",0.0400444938820912
"27","57",0.0539488320355951
"28","58",0.0483870967741935
"29","59",0.0489432703003337
"30","60",0.0456062291434928
"31","61",0.0494994438264739
"32","62",0.0406006674082314
"33","63",0.042825361512792
"34","64",0.0383759733036707
"35","65",0.0350389321468298
"36","66",0.0289210233592881
"37","67",0.0283648498331479
"38","68",0.0344827586206897
"39","69",0.0294771968854283
"40","70",0.0211345939933259
"41","71",0.0239154616240267
"42","72",0.0183537263626251
"43","73",0.0150166852057842
"44","74",0.0127919911012236
"45","75",0.00945494994438265
"46","76",0.00723025583982202
"47","77",0.00723025583982202
"48","78",0.00778642936596218
"49","79",0.00333704115684093
"50","80",0.00389321468298109
"51","81",0.00166852057842047
"52","82",0.00166852057842047
"53","83",0.000556173526140156
"54","84",0.00111234705228031
"55","85",0.000556173526140156
"56","87",0.000556173526140156
"57","92",0.000556173526140156
